skill,description,area,application,rank
Access Provisioning/Deprovisioning,Managing onboarding/offboarding workflows for Epic users,Security,Epic EHR,1
User Roles,"Designing and maintaining role-based access groups in Epic (Physician, Nurse, Admin)",Security,Epic EHR,2
Audit Logs,Tracking and reviewing all clinical/user actions inside Epic for compliance and investigations,Security,Epic EHR,3
Break-The-Glass Protocols,Implementing and monitoring controlled access for sensitive patient records,Security,Epic EHR,4
HIPAA Compliance,Ensuring Epic configurations meet HIPAA privacy and security standards,Security,Epic EHR,5
Two-Factor Authentication (2FA),Enforcing additional login security for Epic users,Security,Epic EHR,6
Single Sign-On (SSO),Integrating Epic with enterprise SSO solutions for streamlined access,Security,Epic EHR,7
MFA (Multi-Factor Authentication),Applying advanced login policies tied to device or location,Security,Epic EHR,8
Patient Portal Security (MyChart),Safeguarding patient-facing portals and ensuring secure patient access,Security,Epic EHR,9
Data Encryption in Transit,Securing Epic communications with external systems,Security,Epic EHR,10
Role-Based Access Control (RBAC),Designing and managing SAP user roles and authorizations,Security,SAP,1
Segregation of Duties (SoD) Analysis,Ensuring users do not have conflicting access rights that pose risk,Security,SAP,2
Access Provisioning/Deprovisioning,Onboarding and offboarding user access in SAP,Security,SAP,3
Audit Logs & Security Monitoring,Tracking and reviewing SAP user activities for compliance,Security,SAP,4
GRC Access Control,"Using SAP Governance, Risk, and Cmopliance",Security,SAP,5
Sensitive Transactions Management,Restricting and monitoring access to high-risk SAP transactions,Security,SAP,6
Password Policies & Authentication,Enforcing strong password standards and authentication in SAP,Security,SAP,7
System & Client Administration Security,Managing system parameters and client security settings,Security,SAP,8
"Compliance Frameworks (SOX, GDPR)",Configuring SAP to meet external audit and regulatory requirements,Security,SAP,9
Data Encryption,Protecting SAP data in transit and at rest,Security,SAP,10
Identity and Access Management (IAM),Managing user accounts and permissions across SaaS applications,Security,SaaS,1
Single Sign-On (SSO),Implementing and managing SSO integrations with SaaS tools,Security,SaaS,2
Multi-Factor Authentication (MFA),Enforcing MFA policies across SaaS platforms,Security,SaaS,3
Role-Based Access Control (RBAC),Defining roles and controlling access within SaaS applications,Security,SaaS,4
Audit Logs & Activity Monitoring,Reviewing SaaS audit trails for suspicious or non-compliant activity,Security,SaaS,5
Vendor Security Reviews,Assessing SaaS vendors for compliance and risk posture,Security,SaaS,6
"Compliance Frameworks (SOC2, GDPR)",Ensuring SaaS usage aligns with external compliance requirements,Security,SaaS,7
Data Encryption (At Rest & In Transit),Verifying encryption standards across SaaS platforms,Security,SaaS,8
Incident Response Coordination,Managing SaaS-related security incidents and escalation paths,Security,SaaS,9
API Security,Securing API connections between SaaS applications,Security,SaaS,10
HL7 Interface Development,Building and maintaining HL7 interfaces for Epic interoperability,Integration,Epic EHR,1
Interface Engine (Cloverleaf),Managing interface traffic through Cloverleaf or similar tools,Integration,Epic EHR,2
